school_id,page_url,page_load_time_ms,page_width,page_height,NDOM_nodes,NDOM_height,page_template,page_menu_or,page_ungrouped_multim,metric,task1,task2,task3,task4,task5,task6,task7,task8
BSRH02000T,https://www.alberghierodemedici.edu.it,2620,1587,5005,266,7,8.0,1.0,13.0,3.3,3.07,2.46,3.07,3.44,6.5,6.5,7.37,2.46
MIRI21000E,https://ipsiacernusco.edu.it/,2760,1587,4758,414,7,5.0,1.0,3.0,4.2,2.99,2.58,2.98,9.53,6.5,10.59,2.11,2.58
RMPS02801A,https://www.iiscartesio.EDU.IT,1782,1587,6473,274,6,2.0,3.0,25.0,3.7,6.3,25.06,6.55,12.45,25.07,24.75,6.5,31.51
METD009011,https://www.istitutosuperioreminutoli.edu.it/wordpress/,3732,1593,7935,598,12,7.0,1.0,13.0,2.8,3.59,2.96,3.49,14.4,3.26,10.64,8.71,3.29
MOTD00301E,https://www.meuccicarpi.edu.it,4356,1587,4723,247,7,8.0,1.0,10.0,3.3,3.11,2.46,3.1,3.51,6.5,6.5,7.55,2.46
MIPS02301P,https://www.iiscardano.edu.it,3337,1587,6608,368,7,8.0,1.0,10.0,3.4,3.59,2.99,3.58,3.96,6.5,6.5,10.69,2.99
BLPS00701R,https://liceibelluno.edu.it/,1059,1587,4651,322,7,5.0,1.0,3.0,4.4,2.89,2.58,2.89,3.09,6.5,10.42,6.5,2.58
BGPS01301D,https://www.istitutoturoldo.edu.it,908,1587,2367,220,5,4.0,3.0,0.0,4.7,2.44,1.5,6.5,6.5,1.64,1.56,3.01,2.87
PORI010006,https://www.marconiprato.edu.it,3078,1587,2673,284,5,4.0,3.0,0.0,4.5,3.94,6.5,6.5,2.38,1.55,6.5,1.19,0.85
PCTF00601P,https://www.isii.it,2624,1587,7153,303,7,8.0,1.0,26.0,2.8,3.57,2.81,3.55,4.0,6.22,6.5,10.69,2.81
BATD007011,https://www.iisseinaudi.edu.it/,3028,1587,10736,412,5,9.0,3.0,85.0,2.3,6.5,6.5,2.52,3.67,3.67,1.89,6.5,1.15
AVTD023019,https://www.istitutosuperioreruggerosecondo.edu.it,973,1587,7193,600,11,9.0,1.0,0.0,3.0,7.0,1.41,7.0,3.15,4.67,7.0,7.0,2.45
LERI03303Q,http://www.iissparabita.edu.it/,2879,1587,5038,412,7,5.0,1.0,3.0,4.0,2.94,2.58,2.94,3.18,6.5,2.2,6.28,2.58
